document_id,entity,gold_answer,prediction
ru-23,Brexit,EVT,ORG
ru-23,Brexit,EVT,ORG
ru-23,Борис Джонсон,PER,ORG
ru-23,The Guardian,ORG,ORG
ru-23,британского парламента,ORG,ORG
ru-23,пресс-секретарь,PER,ORG
ru-23,Министерства иностранных дел,ORG,ORG
ru-23,Тереза Мэй,PER,ORG
ru-23,Терезы Мэй,PER,ORG
ru-23,Дэвид Дэвис,PER,ORG
ru-23,министр,PER,ORG
ru-23,министр,PER,ORG
ru-23,Великобритании,LOC,ORG
ru-23,Евросоюза,ORG,ORG
ru-23,министр,PER,ORG
ru-23,министр,PER,ORG
ru-23,Великобритании,LOC,ORG
ru-23,ЕС,ORG,ORG
ru-23,The Guardian,ORG,ORG
ru-23,парламента,ORG,ORG
ru-23,пресс-секретарь,PER,ORG
ru-23,министр,PER,ORG
ru-23,министр,PER,ORG
ru-23,Великобритании,LOC,ORG
ru-23,ЕС,ORG,ORG
ru-23,Борис Джонсон,PER,ORG
ru-23,Борис,PER,ORG
ru-23,партии тори,ORG,ORG
ru-23,The Guardian,ORG,ORG
ru-23,пресс-секретарь,PER,ORG
ru-23,Министерства иностранных дел,ORG,ORG
ru-23,пресс-секретарь,PER,ORG
ru-23,Тереза Мэй,PER,ORG
ru-23,Терезы Мэй,PER,ORG
ru-23,Дэвид Дэвис,PER,ORG
ru-23,министр,PER,ORG
ru-23,министр,PER,ORG
ru-23,Великобритании,LOC,ORG
ru-23,Евросоюза,ORG,ORG
ru-23,министр,PER,ORG
ru-23,министр,PER,ORG
ru-23,Великобритании,LOC,ORG
ru-23,ЕС,ORG,ORG
ru-23,The Guardian,ORG,ORG
ru-23,парламента,ORG,ORG
ru-23,пресс-секретарь,PER,ORG
ru-23,министр,PER,ORG
ru-23,министр,PER,ORG
ru-23,Великобритании,LOC,ORG
ru-23,ЕС,ORG,ORG
ru-23,Борис Джонсон,PER,ORG
ru-23,Борис,PER,ORG
ru-23,партии тори,ORG,ORG
ru-23,The Guardian,ORG,ORG
ru-23,пресс-секретарь,PER,ORG
ru-10,Brexit,EVT,ORG
ru-10,Альбиона,LOC,ORG
ru-10,Альбионе,LOC,ORG
ru-10,Борис Джонсон,PER,ORG
ru-10,Британии,LOC,ORG
ru-10,Лондон,LOC,ORG
ru-10,Лондон,LOC,ORG
ru-10,Брюсселя,LOC,ORG
ru-10,Брюсселю,LOC,ORG
ru-10,Майкла Барнье,PER,ORG
ru-10,Альбионе,LOC,ORG
ru-10,Европы,LOC,ORG
ru-10,Лондон,LOC,ORG
ru-10,Брюсселю,LOC,ORG
ru-10,Британии,LOC,ORG
ru-10,Британии,LOC,ORG
ru-10,Северной Ирландии,LOC,ORG
ru-10,Британии,LOC,ORG
ru-10,Северную Ирландию,LOC,ORG
ru-10,Брюсселя,LOC,ORG
ru-10,Борис Джонсон,PER,ORG
ru-10,Британии,LOC,ORG
ru-10,Европы,LOC,ORG
ru-10,Тереза Мэй,PER,ORG
ru-10,конференции партии тори,EVT,ORG
ru-10,Евросоюза,ORG,ORG
ru-10,Брюсселе,LOC,ORG
ru-10,Европы,LOC,ORG
ru-10,Альбионе,LOC,ORG
ru-10,Брюсселю,LOC,ORG
ru-10,Евросоюза,ORG,ORG
ru-10,Борис Джонсон,PER,ORG
ru-10,Борис Джонсон,PER,ORG
ru-10,Альбионе,LOC,ORG
ru-10,Брюсселю,LOC,ORG
ru-10,Терезу Мэй,PER,ORG
ru-10,партии тори,ORG,ORG
ru-10,Лондону,LOC,ORG
ru-10,Джонсон,PER,ORG
ru-10,Британии,LOC,ORG
ru-10,Джонсон,PER,ORG
ru-10,букмекеров,ORG,ORG
ru-10,премиера,PER,ORG
ru-10,министра,PER,ORG
ru-10,Борис Джонсон,PER,ORG
ru-10,альтернативный доклад,PRO,ORG
ru-10,правительства,ORG,ORG
ru-10,брексита,EVT,ORG
ru-10,Джонсона,PER,ORG
ru-10,Лондон,LOC,ORG
ru-10,британскую конституцию,PRO,ORG
ru-10,Майкла Барнье,PER,ORG
ru-10,Брюсселя,LOC,ORG
ru-10,Мишель Барнье,PER,ORG
ru-10,правительства,ORG,ORG
ru-10,Альбионе,LOC,ORG
ru-10,будущего торгового договора,PRO,ORG
ru-10,Европой,LOC,ORG
ru-10,Лондон,LOC,ORG
ru-10,Брюсселю,LOC,ORG
ru-10,ЕС,ORG,ORG
ru-10,Британии,LOC,ORG
ru-10,законы ЕС,PRO,ORG
ru-10,Британии,LOC,ORG
ru-10,Северной Ирландии,LOC,ORG
ru-10,таможенного союза,ORG,ORG
ru-10,единой Европы,LOC,ORG
ru-10,Джонсона,PER,ORG
ru-10,Британия,LOC,ORG
ru-10,Северную Ирландию,LOC,ORG
ru-10,Брюссель,LOC,ORG
ru-10,гордых англичан,PER,ORG
ru-10,потенциальная зависимость,PRO,ORG
ru-10,территории,LOC,ORG
ru-10,Соединенного Королевства,LOC,ORG
ru-10,мы,PER,ORG
ru-10,великий британский брексит,EVT,ORG
ru-10,двух ужасающих вариантов,PRO,ORG
ru-10,союз,ORG,ORG
ru-10,страна,LOC,ORG
ru-10,европейские законы,PRO,ORG
ru-10,Джонсон,PER,ORG
ru-10,однопартийцам,PER,ORG
ru-10,действия нынешнего премьера,EVT,ORG
ru-10,Британия,LOC,ORG
ru-10,статусу колонии,PRO,ORG
ru-10,единой Европы,LOC,ORG
ru-10,Мэй,PER,ORG
ru-10,обвинения,PRO,ORG
ru-10,государственной изменой,PRO,ORG
ru-10,ее,PER,ORG
ru-10,выступлению,PRO,ORG
ru-10,четверг,EVT,ORG
ru-10,экстренном саммите,EVT,ORG
ru-10,Евросоюза,ORG,ORG
ru-10,Брюсселе,LOC,ORG
ru-10,британский премьер,PER,ORG
ru-10,уступки,PRO,ORG
ru-10,бывшие коллеги,PER,ORG
ru-10,единой Европе,LOC,ORG
ru-10,приходом Джонсона,EVT,ORG
ru-10,власти,ORG,ORG
ru-10,Альбионе,LOC,ORG
ru-10,Брюсселю,LOC,ORG
ru-10,дело,PRO,ORG
ru-10,непредсказуемым,PER,ORG
ru-10,идейным переговорщиком,PER,ORG
ru-10,договориться,PRO,ORG
ru-10,всей конспирологичности,PRO,ORG
ru-10,версию,PRO,ORG
ru-10,экс-глава британского МИДа,PER,ORG
ru-10,Терезой Мэй,PER,ORG
ru-10,классической схеме боевиков,PRO,ORG
ru-10,Борис Джонсон,PER,ORG
ru-10,публике,ORG,ORG
ru-10,плохого полицейского,PER,ORG
ru-10,Мэй,PER,ORG
ru-10,глазах Евросоюза,ORG,ORG
ru-10,белой и пушистой овечкой,PER,ORG
ru-10,план,PRO,ORG
ru-10,пятерку,ORG,ORG
ru-10,началом открывшегося в среду экстренного саммита Евросоюза,EVT,ORG
ru-10,австрийский канцлер,PER,ORG
ru-10,Себастьян Курц,PER,ORG
ru-10,брексит,EVT,ORG
ru-10,сделки,PRO,ORG
ru-10,европейские СМИ,ORG,ORG
ru-10,источники,PRO,ORG
ru-10,Брюсселе,LOC,ORG
ru-10,спасти Терезу,PER,ORG
ru-10,отставки,PRO,ORG
ru-10,конференции Консервативной партии,EVT,ORG
ru-10,Лондону,LOC,ORG
ru-10,хаоса,PRO,ORG
ru-10,Джонсон,PER,ORG
ru-10,кресло британского премьера,PRO,ORG
ru-10,вариант триумфального возвращения Джонсона в правительство,PRO,ORG
ru-10,британских букмекерских конторах,ORG,ORG
ru-10,критикующего договоренности с Евросоюзом,PRO,ORG
ru-10,бывший министр иностранных дел,PER,ORG
ru-10,кандидатом-фаворитом на пост премьера,PER,ORG
ru-10,Мэй,PER,ORG
ru-10,европейских собеседников,PER,ORG
ru-10,Лондоне,LOC,ORG
ru-10,возможному выходу из состава Евросоюза,EVT,ORG
ru-10,жесткому сценарию,PRO,ORG
ru-10,соглашения,PRO,ORG
ru-10,премьер,PER,ORG
ru-10,эксперты Международного валютного фонда,ORG,ORG
ru-10,случае такого сценария,PRO,ORG
ru-10,Лондон,LOC,ORG
ru-10,единая Европа,LOC,ORG
ru-10,политики по обе стороны Ла-Манша,PER,ORG
ru-10,друг друга,PER,ORG
ru-10,слабо,PRO,ORG
ru-10,британский бизнес,ORG,ORG
ru-10,запасы европейских товаров,PRO,ORG
ru-10,лекарственные препараты,PRO,ORG
ru-10,Еврокомиссия,ORG,ORG
ru-10,пакет экстренных законов,PRO,ORG
ru-10,финансовых рынков,ORG,ORG
ru-10,договорившись с руководством Евросоюза,PER,ORG
ru-10,условиях выхода Британии,EVT,ORG
ru-10,премьера,PER,ORG
ru-10,конференции тори,EVT,ORG
ru-10,Мэй,PER,ORG
ru-10,Лондона,LOC,ORG
ru-10,Брюсселя,LOC,ORG
ru-10,Европейскому,ORG,ORG
ru-10,британскому парламентам,ORG,ORG
ru-10,горячих голов,PER,ORG
ru-10,пыл и прах разнести выстраданный на длительных переговорах компромисс,PRO,ORG
ru-10,британцам,PER,ORG
